ProductKey,ProductCode,ProductName,ProductSubcategoryKey,Brand,Color,Size,ListPrice,StandardCost,AvailableForSaleDate,DiscontinuedDate,IsHighMargin,SKUHighCardinality
1,P-0001,Tailspin Toys Road Bike White S,1,Tailspin Toys,White,XL,1180.49,572.14,2022-08-27,,True,SKU-0001-308496
2,P-0002,Proseware Road Bike Silver S,1,Proseware,Silver,L,2051.6,1086.66,2024-02-21,,False,SKU-0002-201414
3,P-0003,Litware Road Bike Yellow L,1,Litware,Yellow,XL,2906.17,2199.62,2023-09-26,,False,SKU-0003-301629
4,P-0004,Contoso Road Bike Black M,1,Contoso,Black,One Size,3021.63,2292.27,2022-06-16,,False,SKU-0004-379946
5,P-0005,Fabrikam Mountain Bike Purple Max,2,Fabrikam,Purple,M,3578.58,2726.36,2024-03-05,2025-05-11,False,SKU-0005-520651
6,P-0006,Adventure Works Mountain Bike Blue Lite,2,Adventure Works,Blue,XL,1509.06,935.28,2022-09-29,,False,SKU-0006-665158
7,P-0007,Adventure Works Mountain Bike Grey Max,2,Adventure Works,Grey,One Size,2369.88,1821.51,2022-06-06,,False,SKU-0007-542666
8,P-0008,Contoso Mountain Bike Green Max,2,Contoso,Green,One Size,2141.2,1503.62,2023-07-04,,False,SKU-0008-456699
9,P-0009,Adventure Works Touring Bike Green Lite,3,Adventure Works,Green,XL,1098.45,537.55,2023-10-03,,True,SKU-0009-738551
10,P-0010,Northwind Touring Bike Red Max,3,Northwind,Red,M,1936.34,951.5,2023-01-07,,True,SKU-0010-351083
11,P-0011,Tailspin Toys Touring Bike Silver M,3,Tailspin Toys,Silver,M,4327.62,2153.01,2023-05-02,,True,SKU-0011-653306
12,P-0012,Proseware Touring Bike Silver M,3,Proseware,Silver,XS,3930.94,3077.36,2023-04-08,,False,SKU-0012-454508
13,P-0013,Northwind Helmet Grey Pro,4,Northwind,Grey,S,14.01,7.54,2023-11-17,,True,SKU-0013-858490
14,P-0014,A. Datum Helmet Silver Lite,4,A. Datum,Silver,XS,102.06,73.46,2023-11-21,,True,SKU-0014-163556
15,P-0015,Proseware Helmet Yellow Max,4,Proseware,Yellow,XL,20.95,16.21,2022-03-19,,False,SKU-0015-202664
16,P-0016,Tailspin Toys Helmet Purple S,4,Tailspin Toys,Purple,L,109.01,65.23,2022-03-02,,True,SKU-0016-378085
17,P-0017,Adventure Works Lock Green Lite,5,Adventure Works,Green,M,84.17,39.7,2024-01-24,,True,SKU-0017-159942
18,P-0018,Tailspin Toys Lock Grey Pro,5,Tailspin Toys,Grey,S,97.37,46.26,2022-08-29,,True,SKU-0018-707040
19,P-0019,Tailspin Toys Lock Grey L,5,Tailspin Toys,Grey,L,79.64,43.66,2022-05-15,,True,SKU-0019-431535
20,P-0020,Contoso Lock Black M,5,Contoso,Black,L,146.58,113.73,2022-09-08,,False,SKU-0020-974244
21,P-0021,Adventure Works Lock Grey Lite,5,Adventure Works,Grey,XL,87.71,67.97,2022-09-28,2024-02-19,True,SKU-0021-262998
22,P-0022,Adventure Works Lock White Max,5,Adventure Works,White,M,107.12,81.74,2022-04-05,,True,SKU-0022-146228
23,P-0023,Tailspin Toys Lock Yellow Pro,5,Tailspin Toys,Yellow,XS,67.76,32.38,2023-12-09,,True,SKU-0023-975136
24,P-0024,Fabrikam Light Green Pro,6,Fabrikam,Green,L,39.72,21.54,2022-04-16,,True,SKU-0024-750810
25,P-0025,Fabrikam Light Silver Max,6,Fabrikam,Silver,S,115.33,91.62,2023-11-17,,False,SKU-0025-379766
26,P-0026,Fabrikam Light Blue XL,6,Fabrikam,Blue,M,14.54,11.23,2022-08-17,2024-04-05,False,SKU-0026-392136
27,P-0027,Contoso Light White L,6,Contoso,White,XS,78.12,42.7,2023-08-18,,True,SKU-0027-213668
28,P-0028,Proseware Light Yellow Max,6,Proseware,Yellow,XL,41.06,29.25,2022-01-02,,True,SKU-0028-820221
29,P-0029,Northwind Light Yellow XL,6,Northwind,Yellow,One Size,138.27,88.17,2023-11-14,,True,SKU-0029-410016
30,P-0030,Northwind Bottle Green Pro,7,Northwind,Green,XL,59.72,33.59,2022-08-04,,True,SKU-0030-786508
31,P-0031,Litware Bottle Orange L,7,Litware,Orange,XS,93.17,51.71,2023-11-11,,True,SKU-0031-958179
32,P-0032,Northwind Bottle White Lite,7,Northwind,White,One Size,26.64,16.07,2023-10-07,,True,SKU-0032-502630
33,P-0033,A. Datum Bottle Green S,7,A. Datum,Green,XL,83.11,42.81,2023-12-14,,True,SKU-0033-361303
34,P-0034,Contoso Bottle Orange Pro,7,Contoso,Orange,L,61.66,46.34,2023-06-01,,True,SKU-0034-266889
